"","Gender","Height","GPA","HS_GPA","Seat","WtFeel","Cheat"
"1","Female",64,2.6,2.63,"M","AboutRt","No"
"2","Male",69,2.7,3.72,"M","AboutRt","No"
"3","Female",66,3,3.44,"F","AboutRt","No"
"4","Female",63,3.11,2.73,"F","AboutRt","No"
"5","Male",72,3.4,2.35,"B","OverWt","No"
"6","Female",67,3.43,3.84,"M","AboutRt","No"
"7","Male",69,3.7,4,"F",NA,"No"
"8","Male",74,3.7,3.92,"B","AboutRt","No"
"9","Male",72,3.77,3.09,"M","UnderWt","No"
"10","Female",63,3.5,4,"F","AboutRt","No"
"11","Male",68.5,3,3.43,"F","OverWt","No"
"12","Male",70,3,3.62,"M","AboutRt","No"
"13","Male",71,3.5,3.49,"F","AboutRt","No"
"14","Male",68,3.25,3.09,"M","UnderWt","No"
"15","Female",60,2.83,3.22,"M","AboutRt","No"
"16","Male",71,2.62,2.52,"F","OverWt","No"
"17","Female",68,3.15,2.36,"M","AboutRt","No"
"18","Female",67,4.2,4,"M","AboutRt","Yes"
"19","Female",66,3.7,4,"F","OverWt","Yes"
"20","Male",69,4.38,4,"M","UnderWt","No"
"21","Male",69,3.65,3.54,"M","UnderWt","No"
"22","Male",68,3.6,4,"M","AboutRt","No"
"23","Female",67,3,3.08,"M","AboutRt","No"
"24","Female",65,2.25,2.49,"M","AboutRt","No"
"25","Female",61,4.03,3.6,"M","AboutRt","No"
"26","Female",61,2.54,3.5,"M","AboutRt","No"
"27","Female",64,2.6,3.22,"M","OverWt","No"
"28","Female",68,NA,NA,"M","AboutRt","Yes"
"29","Male",69,3,3.66,"B","UnderWt","No"
"30","Male",68,2.93,3.02,"M","OverWt","No"
"31","Male",72,3.2,2.84,"B","AboutRt","No"
"32","Female",68,NA,NA,"B","OverWt","No"
"33","Female",64,3,3.03,"M","AboutRt","No"
"34","Female",65.5,3.4,3.49,"F","AboutRt","No"
"35","Female",67,2.5,3.21,"M",NA,"No"
"36","Female",70,3,3.43,"M",NA,"No"
"37","Female",67,3.51,2.63,"M","AboutRt","No"
"38","Female",62.5,2.37,2.65,"M","AboutRt","No"
"39","Female",67,NA,NA,"M","AboutRt","No"
"40","Female",67,3.5,3.98,"M","AboutRt","No"
"41","Female",62,3,2.7,"B","AboutRt","Yes"
"42","Female",62,2.9,2.86,"M","OverWt","No"
"43","Female",64,3.9,3.91,"M","AboutRt","Yes"
"44","Female",66,2.65,3.63,"M","AboutRt","No"
"45","Female",65,3.5,3.11,"M","AboutRt","No"
"46","Female",67,3.3,3.34,"M","AboutRt","No"
"47","Male",64,3.4,3.52,"M","AboutRt","Yes"
"48","Male",76,3.6,3.55,"M","AboutRt","No"
"49","Male",68,3.21,3.47,"M","UnderWt","No"
"50","Male",68,3.1,3.27,"B","AboutRt","No"
"51","Male",70,3.85,4,"M","OverWt","No"
"52","Male",62,3.2,3.9,"M","AboutRt","No"
"53","Male",69,2.5,2.98,"B","AboutRt","No"
"54","Male",67,2.5,2.96,"M","AboutRt","No"
"55","Male",76.5,NA,NA,"M","AboutRt","No"
"56","Female",64.5,2.9,3.81,"M","AboutRt","No"
"57","Female",70,4.2,4,"M","AboutRt","No"
"58","Female",63,2.8,2.71,"F","AboutRt","No"
"59","Male",72,2.6,3.05,"M","OverWt","No"
"60","Male",64,3.05,2.33,"B","AboutRt","No"
"61","Male",70,3.7,3.38,"F","AboutRt","No"
"62","Male",68,4,3.48,"F","AboutRt","No"
"63","Female",65,3.5,3.93,"B","AboutRt","No"
"64","Female",60,3.22,3.45,"F","OverWt","No"
"65","Female",69,2.9,3.19,"B",NA,"No"
"66","Male",73,3.25,3.87,"B","OverWt","No"
"67","Male",76.5,3.26,3.28,"F","AboutRt","Yes"
"68","Female",64,3,3.76,"F","AboutRt","No"
"69","Female",62,NA,NA,"M","AboutRt","No"
"70","Male",72,2.01,2.75,"M","AboutRt","No"
"71","Female",63,3.71,4,"F",NA,"Yes"
"72","Female",64,3.87,4,"M","AboutRt","No"
"73","Male",64,3.26,4,"F","AboutRt","No"
"74","Male",71,2.5,2.57,"M","AboutRt","No"
"75","Male",73,2.9,2.12,"M","UnderWt","No"
"76","Female",62,3.6,3.41,"M",NA,"No"
"77","Male",72,3.9,4,"M","UnderWt","No"
"78","Male",71,2,2.87,"F","AboutRt","No"
"79","Male",65,3.2,2.97,"M","AboutRt","No"
"80","Female",72,3.3,3.31,"M","OverWt","No"
"81","Female",63,2.8,2.91,"M","OverWt","No"
"82","Female",67,3.8,4,"M","AboutRt","No"
"83","Male",69,3,3.43,"M","AboutRt","No"
"84","Female",63,2.23,1.49,"M","OverWt","No"
"85","Female",68,3.876,3.71,"F","AboutRt","Yes"
"86","Female",64,3.01,3.48,"M","AboutRt","No"
"87","Male",66,2.5,2.94,"M","OverWt","No"
"88","Female",72,3,4,"M","OverWt","No"
"89","Female",59.5,2.79,2.87,"M","OverWt","No"
"90","Female",65,3.8,4,"M","AboutRt","No"
"91","Female",68,3.25,3.04,"F","AboutRt","No"
"92","Female",66,2.8,3.37,"M","OverWt","No"
"93","Male",73,3.39,3.53,"F","UnderWt","No"
"94","Female",65,2.64,3.75,"M","AboutRt","No"
"95","Female",61,3.65,3.28,"M","AboutRt","No"
"96","Female",66,3.4,3.67,"F","OverWt","No"
"97","Female",62.5,3.33,3.95,"F","OverWt","No"
"98","Female",65,3.9,4,"F","OverWt","Yes"
"99","Female",65,2.54,2.62,"M","UnderWt","No"
"100","Female",63,2.8,2.77,"M","AboutRt","Yes"
"101","Male",68,3.5,3.54,"M","OverWt","No"
"102","Male",67,3.1,4,"M","AboutRt","No"
"103","Male",70,2.66,2.32,"M","AboutRt","No"
"104","Male",70,1.91,2.65,"M","OverWt","No"
"105","Male",65,2.8,3.54,"M","AboutRt","No"
"106","Female",70,2.8,3.03,"M","OverWt","No"
"107","Male",70,2.7,3.61,"M","AboutRt","No"
"108","Female",64,3.8,4,"F","AboutRt","No"
"109","Female",63,3.24,3.79,"F","AboutRt","No"
"110","Female",68,2.58,1.95,"B","AboutRt","No"
"111","Female",63.5,3.17,2.08,"M","AboutRt","No"
"112","Female",67.5,2.6,2.18,"M","AboutRt","No"
"113","Female",66,2.58,3.34,"M","OverWt","No"
"114","Female",66,2,2.27,"F","AboutRt","No"
"115","Female",63,3.44,3.79,"F","AboutRt","No"
"116","Female",63,2.9,2.7,"B","OverWt","Yes"
"117","Female",61,2.7,4,"M","AboutRt","No"
"118","Male",72,3.5,3.94,"M","AboutRt","No"
"119","Male",70,3,3.31,"M","OverWt","No"
"120","Male",71,2.44,2.42,"F","AboutRt","No"
"121","Male",71,2,1.89,"M","AboutRt","No"
"122","Male",67,3.34,4,"M","UnderWt","No"
"123","Male",69,3.83,4,"M","AboutRt","No"
"124","Male",72,1.92,2.26,"F","AboutRt","No"
"125","Male",74,2.7,2.48,"M","UnderWt","No"
"126","Female",63,3.9,3.82,"M","AboutRt","Yes"
"127","Female",61,2.33,2.93,"M","AboutRt","No"
"128","Female",66,NA,NA,"M","AboutRt","No"
"129","Female",63,1.96,1.52,"F","AboutRt","No"
"130","Female",66,3,3.3,"M","AboutRt","No"
"131","Female",67,3,3.23,"F","AboutRt","No"
"132","Female",64,3.4,3.94,"B","AboutRt","No"
"133","Female",66,2.05,2.46,"F","AboutRt","No"
"134","Female",68,3.1,2.72,"M","OverWt","No"
"135","Female",62,3,3.17,"M","OverWt","No"
"136","Female",66,3,2.81,"M","OverWt","No"
"137","Female",63,3.25,2.83,"M","AboutRt","No"
"138","Female",66,3.92,4,"B","AboutRt","No"
"139","Female",66,4,4,"F","AboutRt","No"
"140","Female",69,3,3.34,"B","AboutRt","No"
"141","Male",74,3.26,4,"M","OverWt","No"
"142","Male",70,2.8,2.69,"B","AboutRt","No"
"143","Female",68,2.84,2.52,"B","UnderWt","No"
"144","Male",68,2.8,3.65,"B","AboutRt","No"
"145","Male",71,2.87,3.45,"B","AboutRt","No"
"146","Female",64,2.1,2.52,"M","AboutRt","No"
"147","Female",69,2.77,3.04,"M","AboutRt","No"
"148","Male",72,2.95,2.8,"B","AboutRt","No"
"149","Male",63,3.7,4,"M","AboutRt","No"
"150","Female",62,3.89,3.87,"F","AboutRt","No"
"151","Female",65,3.5,3.73,"F","AboutRt","No"
"152","Female",61,NA,NA,"M","AboutRt","No"
"153","Female",67,3,3.96,"M","AboutRt","No"
"154","Male",69,3.88,4,"M","AboutRt","No"
"155","Female",64,3,2.45,"M","UnderWt","Yes"
"156","Female",62,4,4,"B","AboutRt","No"
"157","Female",64,3.2,3.46,"B","OverWt","No"
"158","Female",66,3.2,3.42,"M","AboutRt","No"
"159","Female",63,3.57,3.54,"M","AboutRt","No"
"160","Female",61,3,3.48,"M","AboutRt","No"
"161","Female",67,2.96,3.9,"M","AboutRt","No"
"162","Female",67,2.5,3,"B","AboutRt","No"
"163","Female",63.5,2.67,3.32,"F","UnderWt","Yes"
"164","Female",60,3,2.82,"F","UnderWt","No"
"165","Female",67,2.7,2.41,"M","AboutRt","No"
"166","Female",61,3.8,3.98,"M","AboutRt","No"
"167","Female",64,2.5,2.98,"M","AboutRt","No"
"168","Female",61,3.1,3.3,"F","AboutRt","No"
"169","Female",68,3.5,4,"B","OverWt","No"
"170","Female",63,3.87,3.73,"M","AboutRt","No"
"171","Female",67,3.4,4,"M","AboutRt","No"
"172","Female",63,4.1,3.9,"F","OverWt","No"
"173","Female",60,3.54,4,"F","AboutRt","No"
"174","Male",72,3.8,4,"M","AboutRt","No"
"175","Male",67.75,3.21,4,"F","AboutRt","No"
"176","Male",70,3,4,"B","AboutRt","No"
"177","Male",67,2.04,2.73,"M","AboutRt","No"
"178","Male",67,2.8,3.81,"M","AboutRt","No"
"179","Female",64.5,2.4,2.01,"M","OverWt","No"
"180","Female",60.5,2.9,3.06,"M","OverWt","No"
"181","Male",74,2.38,2.67,"M","UnderWt","No"
"182","Female",69.5,3.83,4,"M","AboutRt","No"
"183","Female",66,2.9,2.85,"M","AboutRt","No"
"184","Female",65,2.91,2.75,"M","OverWt","No"
"185","Female",65,2.9,3.11,"B","AboutRt","No"
"186","Male",73,2.04,2.1,"B","OverWt","No"
"187","Female",63,3.67,4,"M","OverWt","No"
"188","Female",67,3,3.5,"M","AboutRt","No"
"189","Male",66,3.3,2.93,"F","AboutRt","No"
"190","Female",68,3.6,3.09,"B","AboutRt","No"
"191","Female",68,3.5,4,"M","AboutRt","No"
"192","Male",74,3,2.92,"M",NA,"No"
"193","Male",70,3.7,4,"M","AboutRt","No"
"194","Female",65,NA,NA,"F","AboutRt","Yes"
"195","Male",72,3.4,3.43,"B","AboutRt","No"
"196","Female",63,3.33,4,"M","AboutRt","No"
"197","Male",70,4.06,3.74,"B","AboutRt","No"
"198","Male",75,3.8,4,"F","AboutRt","No"
"199","Male",74,4,4,"M","AboutRt","No"
"200","Female",62,3,4,"F","AboutRt","No"
"201","Female",63,3,2.66,"M","AboutRt","No"
"202","Male",70,3,3.43,"B","OverWt","No"
"203","Female",71,3.2,3.98,"M","AboutRt","No"
"204","Female",63,3.4,4,"F","AboutRt","No"
"205","Female",63,3.5,3.49,"F","AboutRt","No"
"206","Female",62,3.6,4,"F","OverWt","No"
"207","Female",63,3.43,3.71,"B","AboutRt","Yes"
"208","Female",65,3.92,4,"F","AboutRt","No"
"209","Female",62,3,2.99,"M","AboutRt","No"
"210","Female",63,2.9,2.54,"F","AboutRt","Yes"
"211","Female",65,3.2,4,"M","AboutRt","No"
"212","Female",63,3.4,3.8,"M","AboutRt","No"
"213","Female",64,3.7,4,"M","UnderWt","No"
"214","Female",68,3.4,3.26,"M","AboutRt","No"
"215","Female",64,3.1,3.58,"M","AboutRt","No"
"216","Female",61,3,3.35,"M","AboutRt","No"
"217","Female",62,3.79,3.85,"M","OverWt","No"
"218","Female",66,3.9,4,"F","AboutRt","Yes"
"219","Male",74,2.1,2.86,"B","AboutRt","No"
"220","Male",72,3,2.99,"B","AboutRt","No"
"221","Male",72,2.06,2.21,"B","AboutRt","No"
"222","Female",68,3,3.31,"B","AboutRt","No"
"223","Female",65,3.81,4,"M","AboutRt","No"
"224","Female",69,2.4,3.49,"B","AboutRt","No"
"225","Female",65,2.6,3.44,"M","AboutRt","No"
"226","Female",64,3,3.29,"M","OverWt","No"
"227","Male",73,3,2.67,"M","AboutRt","No"
"228","Female",64,3.9,3.72,"M","AboutRt","No"
"229","Female",67,2.94,3.18,"B","OverWt","No"
"230","Male",72,2.5,2.24,"B","OverWt","No"
"231","Male",73,2.5,2.09,"B","AboutRt","No"
"232","Male",74,2.7,2.61,"B","UnderWt","No"
"233","Female",68,3.2,4,"B","AboutRt","No"
"234","Female",73,2.67,2.07,"B","OverWt","Yes"
"235","Male",68,2,1.83,"B","AboutRt","No"
"236","Male",63,2.46,2.06,"B","AboutRt","No"
